titulo,precio,precio_original,descuento,ventas,link,moneda,proveedor,proveedor_anios,proveedor_pais,proveedor_verificado,rating_score,rating_count,moq,moq_texto,envio_promesa,tasa_repeticion,pagina,plataforma,fecha_scraping,precios_por_niveles,ingresos_anuales_usd,mercados_principales,pais_origen_detallado,atributos_produccion,peso_bruto_kg,tiempos_entrega
Oversized Embroidered Striped Shirt Womens Loose Fit Shacket Style for Autumn Spring Layering,8.99,,,0,https://www.alibaba.com/product-detail/Oversized-Embroidered-Striped-Shirt-Womens-Loose_1601588258560.html,$,"Dongguan Baijing Garments Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,"[{'cantidad_rango': '1 - 19 pieces', 'precio_unitario': 11.99}, {'cantidad_rango': '20 - 99 pieces', 'precio_unitario': 10.99}, {'cantidad_rango': '100 - 299 pieces', 'precio_unitario': 9.99}, {'cantidad_rango': '>= 300 pieces', 'precio_unitario': 8.99}]",,,Located in CN,"{'fabric_type': 'Other', 'material': '75% Cotton, 25% Polyester', 'sleeve_length': 'Full', 'collar': 'Turn-down Collar', 'neckline': 'Turn-down Collar', 'pattern_type': 'Striped', 'style': 'Casual', 'clothing_length': 'Regular', 'sleeve_style': 'Regular', 'feature': 'Anti-pilling, breathable, washable', 'season': 'Autumn', 'age_group': 'Adult'}",,"[{'rango_cantidad': 'Quantity (pieces)', 'tiempo_aprox_dias': 'Lead time (days)'}, {'rango_cantidad': '1 - 100', 'tiempo_aprox_dias': '15'}, {'rango_cantidad': '> 100', 'tiempo_aprox_dias': 'To be negotiated'}]"
Long-sleeved Shirt 230g Cotton Loose Round Neck Long-sleeved T-shirt Men's and Women's Spring Shirt,2.97,,,0,https://www.alibaba.com/product-detail/Long-sleeved-Shirt-230g-Cotton-Loose_1601638704623.html,$,Suning County Benlei Trading Store,,,False,,,,,,,1,Alibaba,2025-12-09,"[{'cantidad_rango': '20 - 199 pieces', 'precio_unitario': 3.8}, {'cantidad_rango': '200 - 499 pieces', 'precio_unitario': 3.58}, {'cantidad_rango': '500 - 999 pieces', 'precio_unitario': 3.38}, {'cantidad_rango': '>= 1000 pieces', 'precio_unitario': 2.97}]",,,Located in CN,"{'material': '100% Cotton', 'collar': 'O-Neck', 'design': 'With Pattern', 'fit_type': 'Loose', 'length': 'Regular', 'fabric_type': 'Knitted', 'fabric_weight': '230 grams', 'technics': 'Printed', 'printing_methods': 'HD print', 'logo_position': 'Front', 'pattern_type': 'Character', 'style': 'Smart Casual'}",,"[{'rango_cantidad': 'Quantity (pieces)', 'tiempo_aprox_dias': 'Lead time (days)'}, {'rango_cantidad': '1 - 99', 'tiempo_aprox_dias': '7'}, {'rango_cantidad': '100 - 1000', 'tiempo_aprox_dias': '15'}, {'rango_cantidad': '> 1000', 'tiempo_aprox_dias': 'To be negotiated'}]"
Unisex Custom Men's Long Sleeve Casual Shirt Eco-Friendly for Cotton Linen Blend Spring Summer Regular Fit Stand Collar S-8XL,15.96,,,0,https://www.alibaba.com/product-detail/Unisex-Custom-Men-s-Long-Sleeve_1601463834391.html,$,"Huizhou Honglai Clothing Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,"[{'cantidad_rango': '50 - 4950 pieces', 'precio_unitario': 16.8}, {'cantidad_rango': '5000 - 9950 pieces', 'precio_unitario': 16.3}, {'cantidad_rango': '>= 10000 pieces', 'precio_unitario': 15.96}]",,,Located in CN,"{'material': '63.2 cotton 36.8 linen', 'collar': 'Stand', 'sleeve_length(cm)': 'Full', 'shirts_type': 'CASUAL SHIRTS', 'fabric_type': 'Tencel cotton', 'style': 'Formal', 'pattern_type': 'None', 'feature': 'Eco-Friendly', 'fabric_weight': '145 grams', 'technics': 'None', 'printing_methods': 'None', '7_days_sample_order_lead_time': 'Support'}",,"[{'rango_cantidad': 'Quantity (pieces)', 'tiempo_aprox_dias': 'Lead time (days)'}, {'rango_cantidad': '50 - 2000', 'tiempo_aprox_dias': '15'}, {'rango_cantidad': '2050 - 10000', 'tiempo_aprox_dias': '30'}, {'rango_cantidad': '> 10000', 'tiempo_aprox_dias': 'To be negotiated'}]"
Wholesale Custom 100% Polyester Casual Blank Raglan Athletic Plain T Shirt Quick Dry Sports Plus Size Tshirt Gym Men T Shirt,5.0,,,0,https://www.alibaba.com/product-detail/Wholesale-Custom-100-Polyester-Casual-Blank_10000001301801.html,$,RAIEBA ENTERPRISES,,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Freedom Charlie Kirk Unisex T-Shirt 100% Cotton Eco-Friendly Loose Casual Streetwear Plus Size Customized Logo American Fashion,4.0,,,0,https://www.alibaba.com/product-detail/Freedom-Charlie-Kirk-Unisex-T-Shirt_11000028387025.html,$,HADEED ENTERPRISES,,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
WOMEN'S SHIRT,4.0,,,0,https://www.alibaba.com/product-detail/WOMEN-S-SHIRT_1601251499795.html,$,"J&YOUNG SOURCES CO., LTD",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
2024 High Quality Summer New Men's Linen Short-sleeved Shirt Men Casual Cotton Linen Shirt Solid Color Half-sleeved Shirts,0.55,,,0,https://www.alibaba.com/product-detail/2024-High-Quality-Summer-New-Men_1601120437487.html,$,"Shaoxing Zhe Zhu Import And Export Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
High Quality Stock 100%Cotton Pique Polo Shirts America Plus Size T-shirts Polo 3D Embroidery Short Sleeve Men's Polo Shirts,9.5,,,0,https://www.alibaba.com/product-detail/High-Quality-Stock-100-Cotton-Pique_1601043997263.html,$,"Guangzhou Yisabo Trading Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
2025 Autumn Luxury Retro Street Hiphop Color-Block Print Loose Long-Sleeve T-Shirt,11.88,,,0,https://www.alibaba.com/product-detail/2025-Autumn-Luxury-Retro-Street-Hiphop_1601622931209.html,$,"Yiwu Lumos Clothing Co., Ltd.",,,True,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Customizable: Fashionable Casual and Versatile Simple Solid Color Long-sleeved Shirt,97.0,,,0,https://www.alibaba.com/product-detail/Customizable-Fashionable-Casual-and-Versatile-Simple_1601448534122.html,$,"Bestseller (guangzhou) E-Commerce Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
