titulo,precio,precio_original,descuento,ventas,link,moneda,proveedor,proveedor_anios,proveedor_pais,proveedor_verificado,rating_score,rating_count,moq,moq_texto,envio_promesa,tasa_repeticion,pagina,plataforma,fecha_scraping,precios_por_niveles,ingresos_anuales_usd,mercados_principales,pais_origen_detallado,atributos_produccion,peso_bruto_kg,tiempos_entrega
"KUONGSHUN Project The Most Complete Ultimate Starter Kit With TUTORIAL, Compatible With Arduino IDE",15.0,,,0,https://www.alibaba.com/product-detail/KUONGSHUN-Project-The-Most-Complete-Ultimate_1600960568139.html?s=p,$,Shenzhen Kuongshun Electronic Business Department,,,False,,,,,,,1,Alibaba,2025-12-09,[],,,Located in CN,"{'place_of_origin': 'Guangdong, China', 'brand_name': 'Kuongshun', 'model_number': 'AE128', 'mounting_type': 'Compatible With Arduino IDE', 'description': 'Compatible With Arduino IDE', 'application': 'Compatible With Arduino IDE', 'type': 'Compatible With Arduino IDE', 'series': 'Compatible With Arduino IDE', 'features': 'New', 'condition': 'Original 100%', 'product_name': 'Compatible With Arduino IDE'}",,"[{'rango_cantidad': 'Quantity (pieces)', 'tiempo_aprox_dias': 'Lead time (days)'}, {'rango_cantidad': '1 - 10', 'tiempo_aprox_dias': '3'}, {'rango_cantidad': '11 - 200', 'tiempo_aprox_dias': '5'}, {'rango_cantidad': '201 - 1000', 'tiempo_aprox_dias': '7'}, {'rango_cantidad': '> 1000', 'tiempo_aprox_dias': 'To be negotiated'}]"
UNO R3 Best Quality Electronic Enthusiast's Homecomponent Kit Suitable for Arduino Development Need to Quote,3.5,,,0,https://www.alibaba.com/product-detail/UNO-R3-Best-Quality-Electronic-Enthusiast_1601193137506.html,$,"Shenzhen Boruijintong Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,"[{'cantidad_rango': '10 - 999 pieces', 'precio_unitario': 15.0}, {'cantidad_rango': '1000 - 9999 pieces', 'precio_unitario': 10.0}, {'cantidad_rango': '>= 10000 pieces', 'precio_unitario': 3.5}]",,,Located in CN,"{'model_number': 'Education & Maker Boards', 'type': 'UNO R3', 'place_of_origin': 'Guangdong, China', 'brand_name': 'Original', 'application': 'Household Product Mold', 'product_name': 'Education & Maker Boards', 'condition': '100% Original', 'service': 'One-stop Service', 'size': 'Customized Size', 'shipping_method': 'DHL\\UPS\\Fedex\\EMS\\Others', 'material': 'ABS/PA66/PP/PC/PMMA/PSU/PCTG/TPE/TPU/PBT'}",,"[{'rango_cantidad': 'Quantity (pieces)', 'tiempo_aprox_dias': 'Lead time (days)'}, {'rango_cantidad': '1 - 10000', 'tiempo_aprox_dias': '35'}, {'rango_cantidad': '> 10000', 'tiempo_aprox_dias': 'To be negotiated'}]"
Electronic Kits Suppliers Physics Toys Science Snap Buttons Circuits DIY Kits,52.6,,,0,https://www.alibaba.com/product-detail/Electronic-Kits-Suppliers-Physics-Toys-Science_1600602988776.html?s=p,$,"GUANGZHOU DBOLO ELECTRONICS CO., LTD.",,,False,,,,,,,1,Alibaba,2025-12-09,"[{'cantidad_rango': '1 - 49 sets', 'precio_unitario': 91.0}, {'cantidad_rango': '50 - 99 sets', 'precio_unitario': 67.3}, {'cantidad_rango': '100 - 299 sets', 'precio_unitario': 53.57}, {'cantidad_rango': '>= 300 sets', 'precio_unitario': 52.6}]",,,Located in CN,"{'age_range': '7-9Y, 10-12Y, 13-14Y, >14Y', 'material': 'ABS+METAL', 'gender': 'Unisex', 'package': 'Sets', 'battery': 'No Battery', 'place_of_origin': 'Guangdong, China', 'brand_name': 'DBOLO', 'model_number': 'Ardunio basic', 'moq': '1 Set', 'product_name': 'projects on Arudino', 'logo': 'ZNATOK'}",,"[{'rango_cantidad': 'Quantity (sets)', 'tiempo_aprox_dias': 'Lead time (days)'}, {'rango_cantidad': '1 - 100', 'tiempo_aprox_dias': '7'}, {'rango_cantidad': '101 - 1000', 'tiempo_aprox_dias': '14'}, {'rango_cantidad': '1001 - 2000', 'tiempo_aprox_dias': '28'}, {'rango_cantidad': '> 2000', 'tiempo_aprox_dias': 'To be negotiated'}]"
TLV2362IPSR In Stock Now New Electronic Components Kit Electronics Basic Integrated Circuit With CE Certificate,1.0,,,0,https://www.alibaba.com/product-detail/TLV2362IPSR-In-Stock-Now-New-Electronic_1601048858603.html,$,"Shenzhen Huayongli Electronic Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
ACEBOTT Complete Stem Education DIY Programmable Comptnents ESP32 Starter Kit DIY Electronic Kits Projects for Arduino,12.48,,,0,https://www.alibaba.com/product-detail/ACEBOTT-Complete-Stem-Education-DIY-Programmable_1601572454833.html?s=p,$,"Shenzhen Robotlinking Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
UNO R3 Component Pack DIY Project Starter Electronic Kit With 830 Tie-points Breadboard With Box,3.61,,,0,https://www.alibaba.com/product-detail/UNO-R3-Component-Pack-DIY-Project_1601207006675.html,$,"Shenzhen Yixing Micro Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Robotlinking Super Starter kit Learning For Arduino Sensor kits For Mega 2560,18.64,,,0,https://www.alibaba.com/product-detail/Robotlinking-Super-Starter-kit-Learning-For_1601009289680.html?s=p,$,"Shenzhen Robotlinking Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Tscinbuny Electronic Components Development Boards Kit Electronic Modules and Kit Education & Maker for Arduino Programmable Kit,45.5,,,0,https://www.alibaba.com/product-detail/Tscinbuny-Electronic-Components-Development-Boards-Kit_10000005385633.html,$,"Shenzhen Zhiyi Technology Co., Ltd.",,,True,,,,,,,1,Alibaba,2025-12-09,,,,,,,
830-hole Breadboard Suitable For UNO R3 Component Pack Beginner Starter Kit Kit Box Packaging,8.0,,,0,https://www.alibaba.com/product-detail/830-hole-Breadboard-Suitable-For-UNO_1600799052357.html?s=p,$,"Shenzhen Xuantejia Electronics Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
FNRF Yuan-R1L-02 Long Range Rf Module Electronic Components Kit with PCB Transistors and Resistors,2.1,,,0,https://www.alibaba.com/product-detail/FNRF-Yuan-R1L-02-Long-Range_1601520657897.html,$,"Shenzhen Lingchengxin Electronics Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
