titulo,precio,precio_original,descuento,ventas,link,moneda,proveedor,proveedor_anios,proveedor_pais,proveedor_verificado,rating_score,rating_count,moq,moq_texto,envio_promesa,tasa_repeticion,pagina,plataforma,fecha_scraping,precios_por_niveles,pais_origen_detallado,atributos_produccion,peso_bruto_kg,tiempos_entrega
Electronic Kits Suppliers Physics Toys Science Snap Buttons Circuits DIY Kits,52.6,,,0,https://www.alibaba.com/product-detail/Electronic-Kits-Suppliers-Physics-Toys-Science_1600602988776.html?s=p,$,"GUANGZHOU DBOLO ELECTRONICS CO., LTD.",,,False,,,,,,,1,Alibaba,2025-12-09,"[{'cantidad_rango': '1 - 49 sets', 'precio_unitario': 91.0}, {'cantidad_rango': '50 - 99 sets', 'precio_unitario': 67.3}, {'cantidad_rango': '100 - 299 sets', 'precio_unitario': 53.57}, {'cantidad_rango': '>= 300 sets', 'precio_unitario': 52.6}]",Located in CN,"{'age_range': '7-9Y, 10-12Y, 13-14Y, >14Y', 'material': 'ABS+METAL', 'gender': 'Unisex', 'package': 'Sets', 'battery': 'No Battery', 'place_of_origin': 'Guangdong, China', 'brand_name': 'DBOLO', 'model_number': 'Ardunio basic', 'moq': '1 Set', 'product_name': 'projects on Arudino', 'logo': 'ZNATOK'}",,"[{'rango_cantidad': 'Quantity (sets)', 'tiempo_aprox_dias': 'Lead time (days)'}, {'rango_cantidad': '1 - 100', 'tiempo_aprox_dias': '7'}, {'rango_cantidad': '101 - 1000', 'tiempo_aprox_dias': '14'}, {'rango_cantidad': '1001 - 2000', 'tiempo_aprox_dias': '28'}, {'rango_cantidad': '> 2000', 'tiempo_aprox_dias': 'To be negotiated'}]"
One Stop Customized PCBA Electronic Component Kit Desk Lamp Wall Lamp Dimming Board Driver Complete Design Solution Manufacturer,6.5,,,0,https://www.alibaba.com/product-detail/One-Stop-Customized-PCBA-Electronic-Component_1601586008010.html,$,"Guangzhou Zhuning Electronic Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,[],Located in CN,"{'type': 'LED PCBA', 'functional_application': 'Lighting', 'ram': 'custom', 'model_number': 'Table lamp, wall lamp dimmer+drive complete set', 'place_of_origin': 'Guangdong, China', 'brand_name': 'Zhuning', 'copper_thickness': 'Customized', 'supplier_type': 'One-stop customization', 'operating_system': 'custom', 'application': 'Lighting'}",,"[{'rango_cantidad': 'Quantity (pieces)', 'tiempo_aprox_dias': 'Lead time (days)'}, {'rango_cantidad': '1 - 200', 'tiempo_aprox_dias': '30'}, {'rango_cantidad': '> 200', 'tiempo_aprox_dias': 'To be negotiated'}]"
"KUONGSHUN Project The Most Complete Ultimate Starter Kit With TUTORIAL, Compatible With Arduino IDE",15.0,,,0,https://www.alibaba.com/product-detail/KUONGSHUN-Project-The-Most-Complete-Ultimate_1600960568139.html?s=p,$,Shenzhen Kuongshun Electronic Business Department,,,False,,,,,,,1,Alibaba,2025-12-09,[],Located in CN,"{'place_of_origin': 'Guangdong, China', 'brand_name': 'Kuongshun', 'model_number': 'AE128', 'mounting_type': 'Compatible With Arduino IDE', 'description': 'Compatible With Arduino IDE', 'application': 'Compatible With Arduino IDE', 'type': 'Compatible With Arduino IDE', 'series': 'Compatible With Arduino IDE', 'features': 'New', 'condition': 'Original 100%', 'product_name': 'Compatible With Arduino IDE'}",,"[{'rango_cantidad': 'Quantity (pieces)', 'tiempo_aprox_dias': 'Lead time (days)'}, {'rango_cantidad': '1 - 10', 'tiempo_aprox_dias': '3'}, {'rango_cantidad': '11 - 200', 'tiempo_aprox_dias': '5'}, {'rango_cantidad': '201 - 1000', 'tiempo_aprox_dias': '7'}, {'rango_cantidad': '> 1000', 'tiempo_aprox_dias': 'To be negotiated'}]"
"Electronic Components Kit Buy Online Electronics Components Supplier,bom List Service Integrated Circuits Electronic Chip",1.1,,,0,https://www.alibaba.com/product-detail/Electronic-Components-Kit-Buy-Online-Electronics_1600531662193.html,$,"Hongrong (shenzhen) Electronics Co., Ltd.",,,True,,,,,,,1,Alibaba,2025-12-09,,,,,
ACEBOTT Complete Stem Education DIY Programmable Comptnents ESP32 Starter Kit DIY Electronic Kits Projects for Arduino,12.48,,,0,https://www.alibaba.com/product-detail/ACEBOTT-Complete-Stem-Education-DIY-Programmable_1601572454833.html?s=p,$,"Shenzhen Robotlinking Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
OPA548 Electronic Modules Kits Low Frequency Power Operational Amplifier with 3A Continuous Current Wide Output Voltage Swing,19.95,,,0,https://www.alibaba.com/product-detail/OPA548-Electronic-Modules-Kits-Low-Frequency_1601640642120.html,$,"Kelly Electronic Components (shenzhen) Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
Robotlinking Super Starter kit Learning For Arduino Sensor kits For Mega 2560,18.64,,,0,https://www.alibaba.com/product-detail/Robotlinking-Super-Starter-kit-Learning-For_1601009289680.html?s=p,$,"Shenzhen Robotlinking Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
Free samples for other ics components electronic kit microcontrollers and processors fpga electronics kit,1.0,,,0,https://www.alibaba.com/product-detail/Free-samples-for-other-ics-components_1601255094298.html,$,"Shenzhen Nanfeng Quancheng Electronics Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
UNO R3 Best Quality Electronic Enthusiast's Homecomponent Kit Suitable For Arduino Development Need To Quote,3.5,,,0,https://www.alibaba.com/product-detail/UNO-R3-Best-Quality-Electronic-Enthusiast_1601193137506.html?s=p,$,"Shenzhen Boruijintong Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
Hot Selling Electronic Modules Starter Kit Component Starter Module Diy Kit Learning RFID Starter Kit for uno R3,9.99,,,0,https://www.alibaba.com/product-detail/Hot-Selling-Electronic-Modules-Starter-Kit_1600891518661.html,$,"Shenzhen Shiji Chaoyue Electronics Co., Ltd.",,,True,,,,,,,1,Alibaba,2025-12-09,,,,,
1200PCS Boxed Tubular Cord End VE Crimp Terminal Kits Insulated Crimp Terminals Wire Connector With Crimping Pliers HSC8 6-4 Set,0.55,,,0,https://www.alibaba.com/product-detail/1200PCS-Boxed-Tubular-Cord-End-VE_1601603335332.html?s=p,$,"Wenzhou Muge Automation Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
Electronic Components AC Motor Start Series Cbb61 450V 25UF Run Capacitors Kit Unit for Air Conditioner and Ceiling Fan,0.1,,,0,https://www.alibaba.com/product-detail/Electronic-Components-AC-Motor-Start-Series_1600476732837.html,$,"Foshan Shunde Hongye Electrical Appliance Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
830-hole Breadboard Suitable For UNO R3 Component Pack Beginner Starter Kit Kit Box Packaging,8.0,,,0,https://www.alibaba.com/product-detail/830-hole-Breadboard-Suitable-For-UNO_1600799052357.html?s=p,$,"Shenzhen Xuantejia Electronics Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
Electronic Circuit Components Upgrade Learner Kit Development Board Starter Kits for Ardui Ide Programming Diy Kit for Arduino,10.87,,,0,https://www.alibaba.com/product-detail/Electronic-Circuit-Components-Upgrade-Learner-Kit_1601142255801.html,$,"Shenzhen Bluetech Technology Co., Ltd.",,,True,,,,,,,1,Alibaba,2025-12-09,,,,,
Super R3 Starter Kit Learning Kit for Arduino,12.07,,,0,https://www.alibaba.com/product-detail/Super-R3-Starter-Kit-Learning-Kit_1601018932879.html?s=p,$,Shenzhen RoboWiz Electronic Ltd,,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
UNO R3 Component Pack DIY Project Starter Electronic Kit With 830 Tie-points Breadboard With Box,3.61,,,0,https://www.alibaba.com/product-detail/UNO-R3-Component-Pack-DIY-Project_1601207006675.html,$,"Shenzhen Yixing Micro Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
